"Relative Energy Availability (fraction of Earth)","P Concentration (mol/m^3)","Steady State Biomass (cells/ml)","Flow (Mortality) Rate (same units as growth rate)"
1.e-8,0.01,6.920351210190428,1.4134022458594487e-7
1.2589254117941661e-8,0.01,8.712205909664315,1.7793679887356651e-7
1.5848931924611143e-8,0.01,10.96801727697079,2.2400915531270538e-7
1.9952623149688786e-8,0.01,13.807915443666387,2.8201081416315735e-7
2.511886431509582e-8,0.01,17.383135380955686,3.5503057411491457e-7
3.162277660168379e-8,0.01,21.88407039306058,4.469570018339869e-7
3.981071705534969e-8,0.01,27.550411552707025,5.626855119243997e-7
5.011872336272725e-8,0.01,34.683912025749535,7.08379064984687e-7
6.30957344480193e-8,0.01,43.664456257654265,8.917963667466877e-7
7.943282347242822e-8,0.01,54.97029050483753,1.122705045884668e-6
1.e-7,0.01,69.20349076971955,1.4134018133822736e-6
1.2589254117941662e-7,0.01,87.12202547359493,1.7793673033056003e-6
1.584893192461114e-7,0.01,109.68011962362128,2.240090466793742e-6
1.9952623149688787e-7,0.01,138.07907049488944,2.8201064199095677e-6
2.5118864315095823e-7,0.01,173.83122018781611,3.550303012404187e-6
3.162277660168379e-7,0.01,218.84049202767062,4.469565693571612e-6
3.981071705534969e-7,0.01,275.50377988194447,5.626848264950326e-6
5.011872336272725e-7,0.01,346.8385879454176,7.083779786527683e-6
6.30957344480193e-7,0.01,436.64371954485523,8.917946450274603e-6
7.943282347242822e-7,0.01,549.7015691238238,0.000011227023171452519
1.e-6,0.01,692.0327903368168,0.000014133974886250758
1.2589254117941661e-6,0.01,871.2168986615695,0.000017793604490339956
1.584893192461114e-6,0.01,1096.7958773943358,0.000022400796035185796
1.995262314968883e-6,0.01,1380.782275201658,0.000028200892028051432
2.5118864315095823e-6,0.01,1738.2988411901188,0.000035502757251853027
3.162277660168379e-6,0.01,2188.383745544396,0.00004469522446349352
3.981071705534969e-6,0.01,2755.004238878556,0.000056267797229320545
5.011872336272725e-6,0.01,3468.3326912100915,0.00007083671155168293
6.309573444801943e-6,0.01,4366.352897755012,0.00008917774282008182
7.943282347242822e-6,0.01,5496.882089163417,0.00011226750304806189
0.00001,0.01,6920.116160391763,0.00014133542425086822
0.000012589254117941661,0.01,8711.833399386407,0.0001779291909222193
0.00001584893192461114,0.01,10967.426910715458,0.00022399709765616102
0.00001995262314968883,0.01,13806.979818299367,0.00028199170433225223
0.000025118864315095822,0.01,17381.652478366923,0.0003550002876064588
0.000031622776601683795,0.01,21881.72019476521,0.00044690900201525905
0.000039810717055349695,0.01,27546.68685936635,0.0005626094394580134
0.00005011872336272725,0.01,34678.00896146058,0.0007082585024793796
0.00006309573444801943,0.01,43655.101002655625,0.0008916052964896637
0.00007943282347242822,0.01,54955.4642671738,0.0011224022367671807
0.0001,0.01,69179.9944084076,0.0014129219268537048
0.00012589254117941688,0.01,87084.78949711152,0.0017786068014043538
0.00015848931924611142,0.01,109621.11114055617,0.002238885286145714
0.00019952623149688788,0.01,137985.56140493092,0.002818196603881212
0.0002511886431509582,0.01,173683.0442608039,0.0035472766897043334
0.00031622776601683794,0.01,218605.7009809497,0.004464770355831486
0.00039810717055349773,0.01,275131.7646657828,0.005619250281740745
0.0005011872336272725,0.01,346249.19009299524,0.007071742011854024
0.0006309573444801943,0.01,435709.9985224722,0.008898876270898566
0.0007943282347242822,0.01,548222.5415842863,0.01119681573298626
0.001,0.01,689690.3248847374,0.014086132719464224
