"","combo","main_element","secondary_element","bio","abio"
"1","C_N","C","N",7.75193798449612,74.9
"2","C_Si","C","Si",7.75193798449612,22.5376128385155
"3","C_K","C","K",72.992700729927,0.220186183243508
"4","C_S","C","S",95.2380952380952,0.0802213495180293
"5","C_P","C","P",123.915737298637,1123.5
"6","C_Mg","C","Mg",221.238938053097,0.0426667173021419
"7","C_Ca","C","Ca",248.138957816377,0.218601031228719
"8","C_Fe","C","Fe",16528.9256198347,4184357.54189944
"9","C_Sr","C","Sr",24813.8957816377,25.247191011236
"10","C_Mn","C","Mn",44247.7876106195,6173076.92307692
"11","C_Ni","C","Ni",124069.478908189,275030.599755202
"12","C_Zn","C","Zn",155038.759689922,420000
"13","C_Cu","C","Cu",326797.385620915,952118.644067797
"14","C_Cd","C","Cd",591715.976331361,3606741.57303371
"15","C_Co","C","Co",653594.77124183,110147058.823529
"16","C_Mo","C","Mo",4132231.40495868,21605.7692307692
"17","N_Si","N","Si",1,0.300902708124373
"18","N_K","N","K",9.41605839416058,0.00293973542381186
"19","N_S","N","S",12.2857142857143,0.00107104605498036
"20","N_P","N","P",15.9851301115242,15
"21","N_Mg","N","Mg",28.5398230088496,0.000569649096156767
"22","N_Ca","N","Ca",32.0099255583127,0.00291857184551026
"23","N_Fe","N","Fe",2132.23140495868,55865.9217877095
"24","N_Sr","N","Sr",3200.99255583127,0.337078651685393
"25","N_Mn","N","Mn",5707.96460176991,82417.5824175824
"26","N_Ni","N","Ni",16004.9627791563,3671.97062423501
"27","N_Zn","N","Zn",20000,5607.47663551402
"28","N_Cu","N","Cu",42156.862745098,12711.8644067797
"29","N_Cd","N","Cd",76331.3609467456,48154.0930979133
"30","N_Co","N","Co",84313.7254901961,1470588.23529412
"31","N_Mo","N","Mo",533057.851239669,288.461538461538
"32","Si_K","Si","K",9.41605839416058,0.00976972072513474
"33","Si_S","Si","S",12.2857142857143,0.00355944305605141
"34","Si_P","Si","P",15.9851301115242,49.85
"35","Si_Mg","Si","Mg",28.5398230088496,0.00189313382956099
"36","Si_Ca","Si","Ca",32.0099255583127,0.00969938709991244
"37","Si_Fe","Si","Fe",2132.23140495868,185661.080074488
"38","Si_Sr","Si","Sr",3200.99255583127,1.12022471910112
"39","Si_Mn","Si","Mn",5707.96460176991,273901.098901099
"40","Si_Ni","Si","Ni",16004.9627791563,12203.182374541
"41","Si_Zn","Si","Zn",20000,18635.5140186916
"42","Si_Cu","Si","Cu",42156.862745098,42245.7627118644
"43","Si_Cd","Si","Cd",76331.3609467456,160032.102728732
"44","Si_Co","Si","Co",84313.7254901961,4887254.90196078
"45","Si_Mo","Si","Mo",533057.851239669,958.653846153846
"46","K_S","K","S",1.3047619047619,0.364334166369154
"47","K_P","K","P",1.69764560099133,5102.5
"48","K_Mg","K","Mg",3.03097345132743,0.193775634209327
"49","K_Ca","K","Ca",3.39950372208437,0.992800856114408
"50","K_Fe","K","Fe",226.446280991736,19003724.3947858
"51","K_Sr","K","Sr",339.950372208437,114.662921348315
"52","K_Mn","K","Mn",606.194690265487,28035714.2857143
